african_group;African;;;;;;;;;;;;;x
bori;Bori;;;;;;;;;;;;;x
a_tag_roog;West Sahelian;;;;;;;;;;;;;x
a_tag_roog_reformed;West Sahelian;;;;;;;;;;;;;x
amazigh;Amazigh;;;;;;;;;;;;;x
amazigh_reformed;Amazigh;;;;;;;;;;;;;x
bori_DESC;Among the people of Hausaland and the region of the great Lake Chad, there is an old faith in which mortals enter communion with eternal spirits. These spiritual forces are known as bori and exist in their own spiritual realm known as Jan Gari, but can be summoned by skilled individuals who offer their bodies for the spirits to possess. With the right ritual, spirits will offer guidance to those who summon them.;;;;;;;;;;;;;x
a_tag_roog_DESC;Many are the faiths practiced among the peoples of the Western Sahel, but a common pattern resonates among most of them. A supreme creator god, who watches mankind from abode, a primordial set of twins who play a role in creating the world, and a fascination with the Sirius star that guides the destinies of man.;;;;;;;;;;;;;x
a_tag_roog_reformed_DESC;Many are the faiths practiced among the peoples of the Western Sahel, but a common pattern resonates among most of them. A supreme creator god, who watches mankind from abode, a primordial set of twins who play a role in creating the world, and a fascination with the Sirius star that guides the destinies of man.;;;;;;;;;;;;;x
amazigh_DESC;Many are the gods worshiped by the Berbers through their history. At one time or another they prayed to the old gods of Egypt and Phoenicia, or even Greece and Rome. But they also prayed to gods of their own making, and made others pray to them as well, from Numidia to old Carthage.;;;;;;;;;;;;;x
amazigh_reformed_DESC;Many are the gods worshiped by the Berbers through their history. At one time or another they prayed to the old gods of Egypt and Phoenicia, or even Greece and Rome. But they also prayed to gods of their own making, and made others pray to them as well, from Numidia to old Carthage.;;;;;;;;;;;;;x
KIRARI_OF_MAGIRO;The Kirari of Magiro;;;;;;;;;;;;;x
NAGA_REETU_REET;Naga Reetu Reet;;;;;;;;;;;;;x
BAAL_CYCLE;The Baal Cycle;;;;;;;;;;;;;x
MAGADJA;magadja;;;;;;;;;;;;;x
SALTIGUE;saltigue;;;;;;;;;;;;;x
MARABOUT;marabout;;;;;;;;;;;;;x
GOD_MAGIRO;Magiro;;;;;;;;;;;;;x
GOD_MAI_JA_CIKI;Mai-Ja-Ciki;;;;;;;;;;;;;x
GOD_GARKI_BABA;Garki Baba;;;;;;;;;;;;;x
GOD_ZAKI;Zaki;;;;;;;;;;;;;x
GOD_THE_YAYAN_ZANZANNA;The yayan zanzanna;;;;;;;;;;;;;x
GOD_ROOG;Roog;;;;;;;;;;;;;x
GOD_DONGO;Dongo;;;;;;;;;;;;;x
GOD_KONDOLON;Kondolon;;;;;;;;;;;;;x
GOD_SANE;Sané;;;;;;;;;;;;;x
MOUSSO_KORONI;Mousso Koroni;;;;;;;;;;;;;x
GOD_THE_EVIL_PANGOOLS;The evil pangools;;;;;;;;;;;;;x
GOD_TANIT;Tanit;;;;;;;;;;;;;x
GOD_ANTI;Änti;;;;;;;;;;;;;x
GOD_GURZIL;Gurzil;;;;;;;;;;;;;x
GOD_MAGEC;Magec;;;;;;;;;;;;;x
GOD_SET;Set;;;;;;;;;;;;;x
GOD_GUAYOTA;Guayota;;;;;;;;;;;;;x
INNA;Inna;;;;;;;;;;;;;x
INNA_FOA;Mother of us all;;;;;;;;;;;;;x
SUPREME_SALTIGUE;Supreme Saltigue;;;;;;;;;;;;;x
SUPREME_SALTIGUE_FOA;Your Holiness;;;;;;;;;;;;;x
GUANAMENE;Guañameñe;;;;;;;;;;;;;x
GUANAMENE_FOA;Your Holiness;;;;;;;;;;;;;x
k_bori;The Bori Matriarchy;;;;;;;;;;;;;x
k_bori_adj;Matriarchal;;;;;;;;;;;;;x
d_a_tag_roog;The Order of the Saltigue;;;;;;;;;;;;;x
d_a_tag_roog_adj;Saltigue;;;;;;;;;;;;;x
d_amazigh;The Church of the Amazigh People;;;;;;;;;;;;;x
d_amazigh_adj;Holy Amazigh;;;;;;;;;;;;;x
d_living_tan_garki;Living Tan Garki;;;;;;;;;;;;;x
d_living_tan_garki_adj;Tan Garki;;;;;;;;;;;;;x
d_sacred_tyeddo;Sacred Tyeddo;;;;;;;;;;;;;x
d_sacred_tyeddo_adj;Tyeddo;;;;;;;;;;;;;x
d_orphans_of_numidia;Orphans of Numidia;;;;;;;;;;;;;x
d_orphans_of_numidia_adj;Orphan;;;;;;;;;;;;;x
e_carthage;Carthaginian Empire;;;;;;;;;;;;;x
e_carthage_adj;Carthaginian;;;;;;;;;;;;;x
temple_baron_female_bori;Magadja;;;;;;;;;;;;;x
temple_count_female_bori;Chief Magadja;;;;;;;;;;;;;x
temple_duke_female_bori;Great Magadja;;;;;;;;;;;;;x
temple_king_female_bori;Great Magadja;;;;;;;;;;;;;x
temple_emperor_female_bori;Supreme Magadja;;;;;;;;;;;;;x
temple_baron_a_tag_roog;Saltigue;;;;;;;;;;;;;x
temple_baron_female_a_tag_roog;Saltigue;;;;;;;;;;;;;x
temple_baron_a_tag_roog_reformed;Saltigue;;;;;;;;;;;;;x
temple_baron_female_a_tag_roog_reformed;Saltigue;;;;;;;;;;;;;x
temple_count_a_tag_roog;Chief Saltigue;;;;;;;;;;;;;x
temple_count_female_a_tag_roog;Chief Saltigue;;;;;;;;;;;;;x
temple_count_a_tag_roog_reformed;Chief Saltigue;;;;;;;;;;;;;x
temple_count_female_a_tag_roog_reformed;Chief Saltigue;;;;;;;;;;;;;x
temple_duke_a_tag_roog;Great Saltigue;;;;;;;;;;;;;x
temple_duke_female_a_tag_roog;Great Saltigue;;;;;;;;;;;;;x
temple_duke_a_tag_roog_reformed;Great Saltigue;;;;;;;;;;;;;x
temple_duke_female_a_tag_roog_reformed;Great Saltigue;;;;;;;;;;;;;x
temple_king_a_tag_roog;Great Saltigue;;;;;;;;;;;;;x
temple_king_female_a_tag_roog;Great Saltigue;;;;;;;;;;;;;x
temple_king_a_tag_roog_reformed;Great Saltigue;;;;;;;;;;;;;x
temple_king_female_a_tag_roog_reformed;Great Saltigue;;;;;;;;;;;;;x
temple_emperor_a_tag_roog;Emperor Saltigue;;;;;;;;;;;;;x
temple_emperor_female_a_tag_roog;Emperess Saltigue;;;;;;;;;;;;;x
temple_emperor_a_tag_roog_reformed;Emperor Saltigue;;;;;;;;;;;;;x
temple_emperor_female_a_tag_roog_reformed;Emperess Saltigue;;;;;;;;;;;;;x
temple_baron_amazigh;Marabout;;;;;;;;;;;;;x
temple_baron_female_amazigh;Marabout;;;;;;;;;;;;;x
temple_baron_amazigh_reformed;Marabout;;;;;;;;;;;;;x
temple_baron_female_amazigh_reformed;Marabout;;;;;;;;;;;;;x
temple_count_amazigh;Chief Marabout;;;;;;;;;;;;;x
temple_count_female_amazigh;Chief Marabout;;;;;;;;;;;;;x
temple_count_amazigh_reformed;Chief Marabout;;;;;;;;;;;;;x
temple_count_female_amazigh_reformed;Chief Marabout;;;;;;;;;;;;;x
temple_duke_amazigh;Great Marabout;;;;;;;;;;;;;x
temple_duke_female_amazigh;Great Marabout;;;;;;;;;;;;;x
